row_idx,symbol,tf_profile,candidate_type,mfe_pct,mae_pct,atr,atr_pct,bb_width,bias_above_threshold,bias_abs_score,bias_dir,bias_score,body_ratio,close_position,cmf_score,dist_to_high_pct,dist_to_low_pct,ema_slope_pct,engulfing_strength,flow_abs_change,flow_pct_change,flow_scale,flow_slope,higher_highs_ratio,is_bear,is_bull,is_hidden,label_value,lower_lows_ratio,macd_pct,n_past_bars,price_accel,price_flow_ratio,price_max,price_min,price_move_pct,price_range,price_range_pct,pv_correlation,range_contraction,regime_bearish,regime_bullish,regime_confirmed,regime_score,regime_trend,return_3bar,return_6bar,return_full,return_last,return_mean,return_std,roc_10,roc_5,row_atr_pct,rsi,rsi_momentum,strength,strength_atr_ratio,strength_sq,tf_15m,tf_1d,tf_1h,tf_4h,tf_ordinal,up_bars_ratio,vol_avg,vol_median_ratio,vol_ratio_entry,vol_ratio_row,vol_std,vol_std_pct,vol_trend,volatility_pct,wick_lower,wick_upper
0,BTCUSDT,1h,bull,0.0,0.0,509.5300000000003,-99.46502498327973,1.6198187378217637,1.0,13.5,1,13.5,0.12594382361825596,0.2799369085173483,32.2,1.1982944803698332,0.465857584281162,-0.40161205002459843,0.3573264781491466,0.0122598174,0.0119447923,58206.0491559509,0.004062,0.3,0.0,1.0,0.0,0,0.5,-100.18780319693931,11,-138.4333333333343,0.7529362565180027,96385.0,94800.0,0.0089936672,1585.0,-98.33584793534901,0.19379141293438787,0.5505993690851717,0.0,0.0,0.0,3.6,0,-0.3313091315117322,-0.00608927080982358,-1.0168142245908256,-83.30000000000291,-97.84000000000087,268.5330114198662,-0.9028065349167707,-0.0017848631009970977,-99.4849378114098,23.055739149592483,26.511295786209033,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.2,2926.0453636363636,1.8351641128640257,1.5934954590743158,1.5026751326,1432.0098147554907,0.48940109833972306,0.8980776068205384,0.28030569161465635,0.6700392630625174,0.2040169133192266
1,BTCUSDT,1h,bull,0.0,0.0,1058.2100000000005,-98.87689353938636,2.190364739594862,1.0,27.4,1,27.4,0.04053549190534948,0.4491044879330598,33.4,1.6910117308433226,1.378557168889963,-0.3610683754250248,0.09521720052653436,0.1297465652,0.1249204822,72523.7908620681,0.014366,0.4,0.0,1.0,0.0,1,0.6,-100.19794773318912,11,2.7999999999980596,0.15851434009147208,95815.0,92922.8,0.0198016878,2892.199999999997,-96.93043110026672,0.1668806250121636,0.6144803263951314,0.0,0.0,0.0,11.9,0,0.801087801919062,0.22956005952818165,-1.2059120201149667,65.0,-115.01000000000059,453.0816346605423,-1.3251018463246338,0.2417162706328531,-99.01169263556059,32.449259880970615,25.285507144119016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.5,8506.309818181819,1.0648519075943361,1.2677683073510522,1.7518563184,4143.2379960825765,0.4870781907363178,1.0292039386332896,0.47922084190948566,0.7682440846824427,0.19122042341220785
2,BTCUSDT,1h,bull,0.0,0.0,816.8799999999974,-99.09652858961444,3.65810355465324,1.0,25.5,1,25.5,0.5542708824917416,0.12457063711911277,31.0,3.4953000419175018,0.49736937279697785,-1.413903426622407,0.9763092269326603,0.0952185306,0.1011587568,58224.6853395356,0.014551,0.2,0.0,1.0,0.0,0,0.6,-100.5931080288492,11,-274.5333333333353,0.10594887026027638,93576.0,89966.0,0.010717656,3610.0,-96.00733058528552,0.2530160710726445,0.7949861495844859,0.0,0.0,0.0,2.0,0,-1.553207566891908,-2.1237832548150295,-2.9281825492172886,-704.6000000000058,-272.74000000000086,443.1151247450008,-2.5239119935142282,-2.1583115283810663,-99.08859855091538,18.663541523047854,-11.970680280718952,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.3,6220.6547272727275,4.427740965089739,2.9354050016541664,2.1985462665,4356.3847032451595,0.700309677073991,2.2703218696346448,0.480767795521873,0.3537045776309573,0.09202453987730104
3,BTCUSDT,1h,bear,0.0,0.0,871.8500000000015,-99.03021100988865,2.423741084201243,1.0,9.8,1,9.8,0.7004987728604258,0.031272266645554624,31.9,2.722105427080897,0.08787443966140532,-0.3208833243494931,5.732426303854678,0.1617020268,0.137715803,56564.5789823694,0.000553,0.6,1.0,0.0,0.0,0,0.4,-100.10340955225625,11,-711.4000000000038,0.11231946634249143,92348.2,89822.0,0.0154681655,2526.199999999997,-97.19002013325769,0.5322119049152524,1.0,0.0,0.0,0.0,7.9,0,-1.5991331188021276,-1.4967074627192742,-0.5692595423139977,-1769.6000000000058,-51.46999999999971,726.2790159436012,-1.1408809250207559,-1.6103330983973214,-99.01270762918577,44.83533685203402,-18.20014254442583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.6,9150.773545454545,3.2242522086017664,2.534759043569779,3.1495732207,6408.470080195294,0.7003200383402086,0.8763542526087312,0.7942097631835322,0.031272266645554624,0.2682289604940195
4,BTCUSDT,1h,bull,0.0,0.0,1005.6200000000026,-98.8760606575406,4.946276070891273,1.0,24.5,1,24.5,0.5543537047052417,0.24007611395951373,32.7,3.213714111998277,1.0152806215967407,-1.5934318791996218,1.7241379310344969,0.0820939158,0.0792032574,63902.3340967443,0.011929,0.5,0.0,1.0,0.0,1,0.8,-100.53026966236507,11,339.4666666666696,0.19669921807790824,92348.2,88564.4,0.0155792188,3783.800000000003,-95.77100526640498,0.3907862186827321,0.43292457318040184,0.0,0.0,0.0,13.2,0,0.289639340734241,-0.4763017096583988,-1.965880329144156,615.1000000000058,-179.4199999999997,659.9160684006242,-2.078964763976859,-0.4344381237258346,-98.9831865901465,30.419504103370116,6.670462129143303,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.4,10425.344272727272,1.170998000551745,1.1176337869705582,1.2281825171,6688.8605056868255,0.6415961267758707,2.565033848885755,0.7236968280640053,0.2644672796106061,0.18117901568415218
5,BTCUSDT,1h,bear,0.0,0.0,853.8800000000003,-99.07770110075748,5.079775797520565,1.0,25.2,-1,-25.2,0.5758559143274494,0.8760685624563848,32.4,0.6138362116919466,4.339194462836611,1.6733943794646056,0.6671052631579112,0.2130810959,0.2104567261,39219.8328506565,-0.028648,0.8,1.0,0.0,0.0,1,0.2,-99.27722918746859,11,-118.29999999999806,0.04125483067637031,93150.0,88564.4,0.0086823566,4585.600000000006,-95.04696932547144,0.595675471270773,0.29939375436147775,0.0,0.0,0.0,7.1,0,0.19165712529461873,0.7965151916002173,4.190970506776566,-355.0,372.4,513.8240403527644,3.474687279262518,0.02776697350792719,-99.05232737293504,87.41961414791018,-16.44965312979508,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.6,8147.037090909091,0.7689714362693759,0.7601989448300044,0.6710391841,2862.3850697939806,0.35134062087283074,0.70313813370532,0.5674619376932332,0.077884147330845,0.3462599383417056
6,BTCUSDT,1h,bull,0.0,0.0,1574.7100000000005,-98.10823148939032,7.556984895571538,1.0,7.5,1,7.5,0.32362252458575025,0.41008077042559893,36.2,4.562584619672482,3.1716684626760485,-2.4037461609578417,2.438832487309667,0.0621728605,0.0651432086,112736.3824760191,-0.006074,0.3,0.0,1.0,0.0,1,0.6,-100.73380266437711,11,793.9666666666695,1.380462880648153,87038.0,80600.0,0.0899277814,6438.0,-92.26574691765147,0.4527776842265844,0.6317334575955275,0.0,0.0,0.0,38.0,0,0.6858337234239431,-0.9125462611910613,-2.5250478942906125,961.0,-215.62999999999883,814.4256299858097,-2.9637746626642896,-0.44193489742804654,-98.22694487735731,33.54145358511316,5.978423923499662,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.5,21984.707818181818,2.4330437926596655,2.1346784041035862,2.5704941123,17183.311023498245,0.781602883495558,2.5303540996264777,0.9681758424116076,0.5655395392698366,0.11083793614441317
7,BTCUSDT,1h,bull,0.0,0.0,602.6599999999992,-99.27968436439609,1.9870889319814016,1.0,15.1,1,15.1,0.31792697935183795,0.09799897383273772,31.3,2.311330395464816,0.2511172386426591,-0.47039455372562283,2.877475247524649,0.2043732758,0.2290589765,60861.6374610443,0.005373,0.1,0.0,1.0,0.0,1,0.6,-100.24727001930447,11,-57.43333333332945,0.1546948464595331,85599.9,83456.0,0.0354342432,2143.899999999994,-97.43755236589251,0.13597854570824158,0.6102430150660042,0.0,0.0,0.0,5.3,0,-0.37294904815829266,-0.6930563798219516,-1.2149463192085492,-232.39999999999418,-102.9,344.13686553785647,-1.7346111835382756,-1.1009781612931755,-99.09616917724145,30.989506355305892,-3.8177180997736713,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.3,4642.219181818182,1.435310471569172,1.3398751235963535,0.6498691218,1455.046588377693,0.31343771833879813,0.8474831876537696,0.4062506508612574,0.287296595104615,0.394776425543547
8,BTCUSDT,1h,bear,0.0,0.0,879.8400000000023,-99.01162340047654,5.51192716808596,1.0,29.7,-1,-29.7,0.8238169295711993,0.9598572477157089,32.4,0.1781648125618615,4.260116132902416,2.309059325950148,1.9423782084860808,0.3728644027,0.3666004895,28867.4089105411,-0.032279,0.9,1.0,0.0,0.0,1,0.2,-99.2695840811255,11,-150.0,0.03335551956475673,89177.3,85226.4,0.0122281498,3950.9000000000087,-95.56171905453571,0.17704243725324398,0.6596724796881716,0.0,0.0,0.0,6.4,0,0.40582502151504574,2.8273902346051183,3.4895387080010734,741.6999999999971,300.1599999999991,468.24694624382175,3.231032383382132,2.1756547050613384,-99.0800729028203,84.93644955537978,3.171911023788965,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.8,11031.443545454546,1.0,1.040834225610579,1.2385596173,4830.522613366909,0.43788671840298754,1.4910378695153943,0.5357345252282685,0.0,0.17618307042880063
9,BTCUSDT,1h,bull,0.0,0.0,596.65,-99.31178268642944,1.941791612182279,1.0,27.4,1,27.4,0.2772871188135342,0.2623215394165091,27.9,2.056173943133982,0.7311840359882279,-0.41495655749855426,0.7515808491418264,0.1935627778,0.1979642926,20442.7685380342,0.016617,0.3,0.0,1.0,0.0,1,0.6,-100.28626300465997,11,-95.36666666666376,0.04947313210539327,88477.6,86061.1,0.0097939136,2416.5,-97.2126420208778,0.2446263928919225,0.6917442582247015,0.0,0.0,0.0,3.0,0,-0.8866979305046562,-0.5726291741547359,-1.816443919459919,-332.8000000000029,-160.38999999999942,283.1002666900913,-1.5705343995058973,-0.7596275581339511,-99.32056552940112,20.0910006340211,8.111217125518365,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.3,6394.400636363635,2.95478893458382,2.523630894853789,2.6103063259,3965.7784514362947,0.6201954924256281,1.5887377569251782,0.32344703579183437,0.5281619730044956,0.19455090818197016
