timestamp,open,high,low,close,volume
1776859200000,78300.0,79400.0,78114.04,79272.9,5465.82641
1776873600000,79272.91,79472.82,78632.37,78846.62,2393.5344
1776888000000,78846.62,78915.84,78155.83,78178.23,1742.72121
1776902400000,78178.22,78574.44,77453.43,77746.46,3482.97564
1776916800000,77746.47,78339.35,77675.8,78048.62,1711.42731
1776931200000,78048.61,78175.52,77174.01,77704.62,3562.23716
1776945600000,77704.61,78662.5,77379.92,78376.76,3163.89025
1776960000000,78376.77,78509.82,76960.0,77727.26,3947.74807
1776974400000,77727.25,78331.0,77637.5,78257.48,1102.51658
1776988800000,78257.48,78581.93,77555.0,77737.85,2050.74535
1777003200000,77737.84,78057.65,77457.0,77644.6,2006.47598
1777017600000,77644.59,78372.58,77402.01,78240.26,2919.1254
1777032000000,78240.27,78479.37,77577.22,78038.62,2850.11432
1777046400000,78038.63,78060.29,77363.63,77628.85,1634.32254
1777060800000,77628.84,77757.14,77264.08,77437.13,1214.35956
1777075200000,77437.13,77711.87,77309.92,77679.07,943.00804
1777089600000,77679.08,77691.23,77450.0,77501.19,894.01774
1777104000000,77501.19,77885.35,77491.36,77682.3,753.19705
1777118400000,77682.29,77752.54,77299.89,77330.26,1006.59668
1777132800000,77330.25,77454.31,77140.23,77330.01,1247.67486
1777147200000,77330.0,77650.0,77311.05,77625.0,840.61983
1777161600000,77625.0,77642.43,77326.51,77400.21,671.17692
1777176000000,77400.21,78200.0,77383.46,78102.53,1405.76785
1777190400000,78102.53,78210.0,77926.59,78101.44,721.69853
1777204800000,78101.43,78173.15,77770.0,78049.0,1130.54235
1777219200000,78049.0,78500.0,77850.0,78221.16,1505.06004
1777233600000,78221.17,78961.0,77843.75,78657.55,2529.31593
1777248000000,78657.55,79485.66,78400.03,79105.49,3042.99628
1777262400000,79105.5,79160.0,77465.05,77606.6,3608.39615
1777276800000,77606.59,77980.0,77553.23,77844.26,1607.93582
1777291200000,77844.25,78265.34,76564.33,76793.09,3804.78309
1777305600000,76793.1,76990.43,76459.64,76878.07,2644.9239
