timestamp,open,high,low,close,volume
1783602900000,1748.99,1749.0,1742.43,1743.86,1555.0727
1783603800000,1743.86,1745.98,1735.94,1745.98,6195.0521
1783604700000,1745.97,1752.0,1740.39,1746.99,2731.8441
1783605600000,1746.99,1749.83,1740.94,1742.35,1426.75
1783606500000,1742.35,1742.35,1733.36,1740.37,7546.7189
1783607400000,1740.38,1744.04,1736.34,1741.13,1744.4401
1783608300000,1741.13,1744.01,1737.0,1743.14,1903.7225
1783609200000,1743.14,1747.76,1740.0,1745.43,2050.388
1783610100000,1745.42,1749.37,1741.53,1742.63,1451.923
1783611000000,1742.63,1745.43,1738.71,1741.05,1354.5454
1783611900000,1741.05,1742.95,1737.52,1739.51,1084.6154
1783612800000,1739.51,1743.84,1737.78,1738.66,1142.9196
1783613700000,1738.66,1739.45,1731.99,1736.16,1453.4326
1783614600000,1736.16,1740.25,1735.14,1738.66,1101.6321
1783615500000,1738.66,1739.8,1735.17,1739.25,1869.8535
1783616400000,1739.25,1742.25,1738.46,1739.57,867.3742
1783617300000,1739.58,1744.41,1739.58,1742.71,1055.1708
1783618200000,1742.71,1752.5,1740.47,1749.57,3052.7467
1783619100000,1749.58,1750.47,1746.32,1748.52,927.4748
1783620000000,1748.53,1757.59,1747.47,1756.24,2680.1506
1783620900000,1756.25,1759.82,1751.51,1754.74,2548.1409
1783621800000,1754.73,1754.82,1752.1,1754.34,2354.4911
1783622700000,1754.33,1754.68,1749.49,1751.55,782.9008
1783623600000,1751.56,1751.8,1748.58,1748.97,955.3325
1783624500000,1748.98,1750.19,1747.12,1749.86,942.6152
1783625400000,1749.86,1752.95,1748.81,1752.19,843.4924
1783626300000,1752.18,1752.38,1747.63,1748.51,1357.327
1783627200000,1748.51,1749.69,1745.66,1746.34,1132.1812
1783628100000,1746.34,1749.0,1745.27,1748.07,1038.3791
1783629000000,1748.07,1750.36,1747.17,1749.94,730.2185
1783629900000,1749.95,1750.11,1747.65,1748.76,389.3724
1783630800000,1748.77,1750.97,1746.74,1748.37,839.6454
1783631700000,1748.37,1749.7,1745.94,1746.42,768.4852
1783632600000,1746.42,1747.43,1745.27,1745.84,792.1063
1783633500000,1745.83,1748.76,1745.01,1748.17,991.7344
1783634400000,1748.17,1750.77,1747.08,1748.2,992.7369
1783635300000,1748.21,1751.08,1747.92,1749.1,656.5756
1783636200000,1749.11,1750.98,1746.33,1750.08,815.0636
1783637100000,1750.08,1751.04,1747.5,1747.52,518.1661
1783638000000,1747.53,1749.07,1746.27,1746.27,581.3891
1783638900000,1746.28,1748.56,1741.56,1746.43,1879.5144
1783639800000,1746.44,1747.0,1744.25,1746.9,665.3248
1783640700000,1746.91,1747.61,1745.16,1745.16,582.8487
1783641600000,1745.17,1745.41,1741.45,1745.06,910.3029
1783642500000,1745.06,1746.42,1740.26,1742.07,874.5111
1783643400000,1742.08,1744.13,1737.68,1740.98,1676.1956
1783644300000,1740.97,1743.15,1738.09,1743.09,1023.7032
1783645200000,1743.09,1744.43,1738.25,1742.88,1205.3634
1783646100000,1742.88,1751.77,1742.7,1750.54,1752.5117
1783647000000,1750.54,1752.88,1748.13,1749.4,1631.4519
1783647900000,1749.4,1777.47,1749.38,1767.62,17360.357
1783648800000,1767.62,1770.31,1764.56,1768.61,3257.7529
1783649700000,1768.62,1770.54,1765.5,1766.7,1218.3489
1783650600000,1766.68,1770.0,1765.69,1769.0,1935.0139
1783651500000,1769.0,1775.0,1767.53,1772.86,3553.4177
1783652400000,1772.87,1773.42,1769.6,1772.23,1621.967
1783653300000,1772.23,1773.0,1770.2,1770.52,1588.3284
1783654200000,1770.52,1776.12,1769.22,1775.89,3219.5962
1783655100000,1775.88,1779.68,1774.7,1776.12,2521.7095
1783656000000,1776.13,1779.65,1775.73,1779.32,1867.1998
1783656900000,1779.32,1780.33,1773.9,1773.9,1513.4265
1783657800000,1773.91,1777.72,1771.94,1775.79,2008.0156
1783658700000,1775.79,1777.95,1773.93,1774.75,1547.0406
1783659600000,1774.74,1775.0,1772.58,1772.64,1175.3633
1783660500000,1772.64,1774.69,1772.54,1773.77,1170.5638
1783661400000,1773.78,1779.32,1773.09,1779.15,2213.6683
1783662300000,1779.14,1780.0,1777.28,1779.04,1369.3988
1783663200000,1779.04,1779.88,1776.51,1777.95,1877.0666
1783664100000,1777.95,1777.95,1769.23,1770.48,2302.7492
1783665000000,1770.47,1773.58,1770.27,1773.11,1268.9596
1783665900000,1773.1,1774.18,1770.53,1771.17,919.4728
1783666800000,1771.17,1773.89,1768.57,1773.89,1283.4469
1783667700000,1773.88,1777.45,1772.6,1776.02,1065.9557
1783668600000,1776.02,1776.03,1772.13,1772.2,1105.6514
1783669500000,1772.21,1773.56,1771.49,1773.2,1165.3204
1783670400000,1773.2,1776.1,1772.63,1776.1,846.5425
1783671300000,1776.09,1789.59,1776.09,1785.64,5814.126
1783672200000,1785.65,1789.48,1784.55,1785.52,2030.569
1783673100000,1785.52,1785.6,1783.22,1783.99,1489.3167
1783674000000,1783.99,1785.7,1781.27,1783.1,1796.3329
1783674900000,1783.09,1788.61,1782.98,1788.53,2165.7297
1783675800000,1788.52,1794.46,1788.12,1792.95,4641.6032
1783676700000,1792.95,1794.94,1791.28,1792.56,2028.3252
1783677600000,1792.55,1794.16,1789.45,1790.51,1799.6653
1783678500000,1790.51,1802.99,1790.51,1800.35,6916.6615
1783679400000,1800.34,1802.41,1796.25,1799.81,3107.0813
1783680300000,1799.82,1799.99,1796.96,1797.01,1591.743
1783681200000,1797.01,1800.0,1797.01,1799.92,3270.0838
1783682100000,1799.93,1802.0,1796.13,1797.46,2663.9455
1783683000000,1797.45,1797.8,1794.25,1797.51,2299.1482
1783683900000,1797.5,1802.41,1797.09,1801.22,3766.8548
1783684800000,1801.22,1807.18,1798.31,1804.56,5658.0868
1783685700000,1804.57,1805.0,1799.98,1800.83,3128.5019
1783686600000,1800.83,1801.0,1794.4,1794.6,3636.861
1783687500000,1794.6,1795.74,1792.98,1793.95,2399.1328
1783688400000,1793.95,1796.96,1793.65,1794.54,2374.0159
1783689300000,1794.55,1798.75,1794.14,1795.51,2196.2754
1783690200000,1795.51,1803.74,1794.78,1801.52,4032.0849
1783691100000,1801.53,1812.0,1801.41,1803.82,6094.3429
1783692000000,1803.82,1804.49,1792.28,1793.43,2852.4182
1783692900000,1793.44,1794.22,1780.0,1788.97,5713.473
1783693800000,1788.98,1794.67,1775.0,1788.0,7815.7937
1783694700000,1787.99,1789.19,1784.07,1785.06,2399.7409
1783695600000,1785.06,1791.29,1784.03,1788.15,2805.4677
1783696500000,1788.15,1796.88,1788.15,1793.81,2775.5287
1783697400000,1793.81,1794.82,1786.4,1788.03,1802.2594
1783698300000,1788.04,1791.23,1787.13,1791.11,1515.9602
1783699200000,1791.11,1794.05,1788.08,1793.41,1766.734
1783700100000,1793.41,1796.26,1789.75,1791.35,1686.3819
1783701000000,1791.34,1793.2,1785.86,1790.12,2344.5799
1783701900000,1790.12,1799.53,1789.45,1797.49,1982.5229
1783702800000,1797.48,1799.0,1791.75,1791.93,2991.1086
1783703700000,1791.93,1795.0,1789.22,1793.49,1043.384
1783704600000,1793.49,1793.5,1788.57,1789.33,1135.561
1783705500000,1789.33,1791.67,1788.02,1788.03,878.9783
1783706400000,1788.03,1794.0,1788.03,1789.25,1579.793
1783707300000,1789.26,1792.73,1787.7,1790.14,1221.2024
1783708200000,1790.14,1790.14,1787.74,1788.56,806.3947
1783709100000,1788.57,1788.57,1781.2,1784.94,2466.5815
1783710000000,1784.94,1788.27,1784.1,1787.86,1197.726
