timestamp,open,high,low,close,volume
1776859200000,2398.44,2423.75,2390.9,2403.83,98738.8258
1776873600000,2403.84,2413.75,2384.17,2397.79,50321.212
1776888000000,2397.8,2406.11,2373.95,2374.07,33121.3859
1776902400000,2374.08,2382.0,2331.5,2340.81,76206.1153
1776916800000,2340.82,2358.93,2337.12,2344.43,39343.6563
1776931200000,2344.43,2345.0,2305.61,2328.97,78151.0377
1776945600000,2328.96,2343.58,2315.23,2333.26,52807.9001
1776960000000,2333.26,2335.76,2285.42,2312.88,79023.7839
1776974400000,2312.87,2338.79,2312.74,2330.26,31113.199
1776988800000,2330.27,2337.5,2301.35,2308.64,27004.8932
1777003200000,2308.63,2317.35,2300.22,2311.63,28648.9402
1777017600000,2311.63,2332.26,2303.74,2328.1,35868.9201
1777032000000,2328.1,2331.85,2301.61,2323.81,46811.7304
1777046400000,2323.81,2325.0,2308.82,2321.6,24666.2517
1777060800000,2321.59,2328.16,2307.2,2314.99,20886.8825
1777075200000,2314.98,2321.36,2311.27,2318.43,7639.0588
1777089600000,2318.44,2319.01,2313.3,2316.48,6328.1546
1777104000000,2316.48,2323.21,2311.2,2313.64,11470.7972
1777118400000,2313.65,2318.94,2303.0,2308.09,15641.4778
1777132800000,2308.08,2313.98,2300.55,2310.06,19676.6866
1777147200000,2310.06,2320.42,2308.85,2319.5,7383.0441
1777161600000,2319.49,2320.06,2306.72,2310.0,10012.7252
1777176000000,2309.99,2336.48,2308.97,2331.24,24981.3334
1777190400000,2331.25,2337.68,2329.66,2335.95,12111.2365
1777204800000,2335.96,2352.44,2324.19,2348.05,24507.8806
1777219200000,2348.06,2376.35,2340.56,2367.4,35056.7538
1777233600000,2367.4,2380.0,2348.47,2369.44,47921.6924
1777248000000,2369.45,2404.37,2359.46,2394.85,48640.6352
1777262400000,2394.85,2396.05,2312.71,2316.01,71679.7375
1777276800000,2316.0,2325.52,2309.13,2320.39,29605.5066
1777291200000,2320.39,2329.82,2266.09,2275.07,85871.4106
1777305600000,2275.07,2292.91,2270.04,2289.14,46317.2928
1777320000000,2289.15,2308.61,2284.66,2303.67,18249.2759
1777334400000,2303.66,2310.88,2280.99,2290.94,21169.2851
1777348800000,2290.93,2296.91,2270.53,2287.99,37016.4672
1777363200000,2288.0,2291.64,2270.36,2275.32,32729.5921
1777377600000,2275.32,2286.2,2258.24,2279.76,49767.4453
1777392000000,2279.76,2305.55,2274.38,2301.96,33432.9185
1777406400000,2301.96,2305.95,2284.15,2289.42,13816.5119
1777420800000,2289.42,2316.36,2278.84,2311.52,39935.6458
