timestamp,open,high,low,close,volume
1783602900000,4110.17,4115.65,4108.23,4115.05,144.0443
1783603800000,4115.04,4118.32,4109.56,4117.1,72.7159
1783604700000,4117.09,4117.09,4108.15,4111.71,43.0581
1783605600000,4111.21,4124.51,4110.19,4112.08,111.978
1783606500000,4112.07,4113.58,4104.0,4113.58,29.9764
1783607400000,4113.58,4115.1,4110.35,4113.05,28.6802
1783608300000,4113.05,4115.7,4108.05,4115.7,43.0095
1783609200000,4115.7,4118.93,4114.09,4114.09,31.2928
1783610100000,4114.1,4118.33,4114.09,4115.85,49.9266
1783611000000,4115.85,4119.6,4115.25,4119.06,74.8864
1783611900000,4119.01,4120.68,4116.1,4116.1,24.7163
1783612800000,4116.1,4118.77,4115.56,4117.82,39.3365
1783613700000,4117.82,4120.0,4116.46,4118.83,32.9317
1783614600000,4118.88,4124.04,4118.88,4121.35,18.4784
1783615500000,4121.35,4121.89,4116.41,4116.41,9.7983
1783616400000,4116.41,4116.41,4113.64,4114.84,12.5326
1783617300000,4114.74,4118.21,4113.5,4118.21,10.4703
1783618200000,4118.3,4120.45,4116.84,4119.84,19.7072
1783619100000,4119.84,4124.18,4119.82,4123.39,18.1023
1783620000000,4123.4,4123.4,4116.37,4116.38,9.7588
1783620900000,4116.37,4116.37,4111.6,4111.6,26.8942
1783621800000,4111.58,4112.72,4109.83,4112.72,29.7859
1783622700000,4112.71,4112.71,4111.25,4112.66,10.341
1783623600000,4112.83,4114.17,4110.94,4111.29,18.5006
1783624500000,4111.36,4112.67,4109.85,4109.86,20.2419
1783625400000,4109.85,4110.16,4108.2,4108.79,13.847
1783626300000,4108.79,4111.63,4108.47,4110.51,18.918
1783627200000,4110.55,4111.62,4110.5,4110.53,17.0452
1783628100000,4110.53,4111.0,4110.52,4110.65,11.4358
1783629000000,4110.65,4113.29,4110.64,4113.29,5.6707
1783629900000,4113.28,4113.37,4112.96,4113.37,16.7858
1783630800000,4113.36,4113.36,4110.22,4110.51,10.961
1783631700000,4110.5,4113.33,4110.5,4113.33,6.1389
1783632600000,4113.33,4115.51,4113.32,4115.51,8.9163
1783633500000,4115.5,4115.51,4114.79,4114.79,6.8133
1783634400000,4114.79,4115.43,4112.07,4112.44,21.4331
1783635300000,4112.44,4113.84,4112.25,4112.42,14.1247
1783636200000,4112.42,4112.42,4111.68,4112.28,14.8053
1783637100000,4112.27,4112.4,4110.72,4111.01,6.4479
1783638000000,4111.0,4112.12,4110.89,4112.12,3.0031
1783638900000,4112.12,4112.88,4111.31,4111.4,4.8831
1783639800000,4111.39,4111.4,4110.33,4111.22,7.1343
1783640700000,4111.21,4112.5,4110.86,4111.82,3.2044
1783641600000,4111.81,4113.54,4109.49,4111.13,17.1787
1783642500000,4111.14,4111.55,4105.86,4107.56,33.9953
1783643400000,4107.56,4111.0,4103.62,4110.99,14.3946
1783644300000,4110.99,4115.49,4109.44,4114.2,11.0868
1783645200000,4114.2,4117.5,4107.55,4112.65,28.6483
1783646100000,4112.39,4114.58,4109.17,4109.7,10.8362
1783647000000,4109.71,4111.31,4099.35,4101.34,26.7239
1783647900000,4101.16,4109.8,4098.99,4106.2,22.1483
1783648800000,4106.21,4115.44,4105.34,4112.5,31.5432
1783649700000,4112.51,4115.0,4110.26,4113.02,15.5545
1783650600000,4113.03,4115.38,4111.06,4113.17,30.3908
1783651500000,4113.16,4116.17,4111.83,4114.72,10.3123
1783652400000,4114.83,4121.84,4114.83,4114.9,15.9545
1783653300000,4114.91,4115.99,4109.25,4113.5,11.2006
1783654200000,4113.34,4114.55,4110.48,4110.5,16.8981
1783655100000,4110.5,4110.51,4108.35,4108.36,4.4961
1783656000000,4108.36,4109.67,4107.17,4109.67,6.7958
1783656900000,4109.67,4109.84,4102.74,4106.69,10.376
1783657800000,4106.69,4108.03,4106.56,4108.02,2.3353
1783658700000,4108.02,4108.02,4104.83,4104.84,8.236
1783659600000,4104.77,4105.53,4103.7,4104.05,5.5536
1783660500000,4104.06,4105.67,4102.61,4103.76,13.1926
1783661400000,4103.57,4103.83,4099.28,4102.61,22.2224
1783662300000,4102.62,4104.5,4098.3,4104.5,107.0422
1783663200000,4104.49,4107.2,4104.33,4104.33,15.5773
1783664100000,4104.33,4108.17,4103.66,4104.18,13.6159
1783665000000,4104.18,4104.5,4102.0,4102.0,20.8921
1783665900000,4102.01,4104.06,4101.68,4101.84,6.4923
1783666800000,4101.84,4102.67,4099.76,4101.49,10.4029
1783667700000,4101.5,4103.49,4099.5,4102.07,15.6666
1783668600000,4102.08,4102.84,4093.88,4093.89,15.4011
1783669500000,4093.89,4095.89,4092.26,4094.83,26.8327
1783670400000,4094.83,4095.69,4092.25,4094.2,8.1825
1783671300000,4094.37,4096.0,4092.3,4092.56,12.1797
1783672200000,4092.55,4092.76,4088.45,4090.0,17.9839
1783673100000,4090.0,4090.0,4085.11,4086.32,17.3303
1783674000000,4086.33,4089.17,4084.33,4089.17,14.09
1783674900000,4089.16,4092.0,4089.16,4091.34,10.2139
1783675800000,4091.55,4092.67,4089.34,4092.67,9.2794
1783676700000,4092.67,4095.16,4092.51,4094.78,4.2438
1783677600000,4094.77,4097.09,4094.68,4095.99,43.6483
1783678500000,4095.97,4101.29,4095.83,4098.5,12.5443
1783679400000,4098.5,4099.35,4096.81,4097.68,10.1466
1783680300000,4097.82,4098.0,4094.83,4094.83,13.9984
1783681200000,4094.66,4096.83,4094.66,4096.66,7.7851
1783682100000,4096.67,4097.0,4090.83,4090.83,7.7473
1783683000000,4090.83,4095.75,4087.17,4095.74,9.8456
1783683900000,4095.74,4096.5,4093.22,4093.22,5.7282
1783684800000,4093.22,4106.99,4092.1,4104.5,63.1745
1783685700000,4104.5,4105.33,4094.81,4096.04,30.1938
1783686600000,4096.04,4097.0,4089.86,4089.86,25.9162
1783687500000,4089.87,4094.88,4089.86,4092.16,27.183
1783688400000,4091.96,4095.96,4090.3,4094.5,15.6919
1783689300000,4094.6,4096.36,4078.11,4078.7,37.9633
1783690200000,4078.84,4092.03,4078.81,4089.3,36.5049
1783691100000,4089.31,4095.5,4088.65,4095.01,971.1115
1783692000000,4095.01,4096.18,4092.97,4093.45,180.6625
1783692900000,4093.44,4101.41,4092.73,4100.6,83.0549
1783693800000,4100.6,4102.0,4068.66,4092.64,287.45
1783694700000,4092.63,4099.43,4085.73,4085.99,42.1153
1783695600000,4086.16,4093.28,4085.3,4090.17,28.1378
1783696500000,4090.17,4099.38,4090.17,4094.52,18.9525
1783697400000,4094.53,4098.32,4094.53,4098.32,21.5573
1783698300000,4098.33,4104.92,4098.33,4104.89,20.1719
1783699200000,4104.89,4105.68,4101.01,4101.59,28.6763
1783700100000,4101.77,4105.17,4099.62,4105.17,13.656
1783701000000,4105.32,4106.34,4101.98,4101.98,9.4704
1783701900000,4101.98,4101.98,4097.99,4097.99,9.7875
1783702800000,4097.83,4098.83,4095.5,4097.33,12.0554
1783703700000,4097.34,4100.39,4097.34,4099.33,15.5817
1783704600000,4099.33,4100.49,4097.33,4098.1,16.4411
1783705500000,4098.1,4098.66,4094.82,4094.82,18.7342
1783706400000,4094.83,4098.88,4094.67,4098.47,15.2006
1783707300000,4098.47,4099.32,4096.34,4097.82,17.2672
1783708200000,4097.81,4097.81,4093.58,4093.59,9.8362
